title,time,content
Perekam Wanita di Kamar Ganti Baju Mall Kerap Ceramah Agama di Medsos,14-11-2019 09:54,Dia pasti alumni 212
Gubernur Anies Sampaikan Ancaman Penggantian Ideologi Pancasila Dengan Komunis,01-10-2019 17:38,Gak pernah ngaca ya
"Kecewa Ponakan Prabowo Batal Baca Doa, Gerindra WO dari MPR",28-09-2019 10:56,Alumni 212 mana suaranya
"Pria India Bikin Helm Pakai AC, Kepala Dingin Saat Macet",17-09-2019 12:41,Malah masuk angin ntar
"Jokograd & Mandalanusa, Usulan Nama Ibu Kota Baru Indonesia Menurut Warganet",28-08-2019 13:45,Wowoland city of kamprets
"Dugaan ‘Tim Mawar’ di Balik Kerusuhan 22 Mei, Prabowo-Sandi Ngaku Gak Kenal",11-06-2019 17:17,Kasian lo wok
Kesaksian Tajudin yang Disuruh Kivlan Tembak Luhut-Wiranto-BG-Gories,11-06-2019 16:59,Mampus lo wok
"Disoraki Ibu Negara oleh Pendukung di Atas Panggung, Titiek Soeharto: Presidennya",31-05-2019 11:34,Jomblo ngenes
"Gugat Pilpres, Tim Hukum Prabowo-Sandi Serahkan 51 Bukti ke MK",25-05-2019 09:11,Gak bawa bukti ya?
Sopir Ambulans Gerindra yang Bawa Batu Harus Ditahan Polisi : Pak Saya Belum Dibayar,24-05-2019 10:10,Ayo bayar wok
"Pengakuan Massa Aksi 22 Mei, Bekal Tipis Hingga Tinggalkan Anak Istri",21-05-2019 17:17,Manusia tolol
Wiranto Duga Eks Danjen Kopassus Soenarko Selundupkan Senjata dari Aceh,21-05-2019 17:15,Untung bs ketahuan
BPN Enggan Komentari Sikap PAN yang Akui Kemenangan Jokowi-Ma’ruf,21-05-2019 17:13,Wkwwkkwwk kapal oleng
"Sakit, dr Ani Hasibuan Tak Penuhi Panggilan Polisi",17-05-2019 13:31,Awas ntar kabur ke arab
"Real Count 84%, Ini 13 Provinsi yang Dimenangkan Prabowo!",16-05-2019 11:25,Provinsi terbelakang
"Mau Diperiksa Bareskrim, Ust Haikal Hasan Malah Pulang kampung Ke Arab saudi",16-05-2019 11:19,Kampret pada kabur
Andi Arief Sindir Anies Tak Datang Silaturahmi Bogor: Jangan Main Aman,16-05-2019 11:02,Lain kali gak usah diundang. Kagak punya prestasi
Prabowo Bikin Surat Wasiat: Kalau Terjadi Apa-apa Terhadap Saya....,16-05-2019 11:01,Wkwk depresi
Guru Ngaji Ini Melecehkan 20 Gadis,16-05-2019 10:47,Pasti pendukung prabowo
"Polisi: Tiba di Indonesia, Bachtiar Nasir Ditangkap, Lalu Ditahan",14-05-2019 17:26,Kok gak dicekal ke luar negeri ya?
